"Area","hh_size","Total","Under15","`15-18`","`18-65`","Above65","Above18","se.Counter","se.Under15","se.`15-18`","se.`18-65`","se.Above65","se.Above18"
"0",2,417720,17580,7640,316260,159900,417620,1704.37345940402,416.594124016554,275.624358862932,1561.94328332024,1184.77380238273,1704.27164900095
"11",2,107220,5840,2160,88140,33480,107220,894.128306326014,239.86496731326,146.559277249702,834.704483861203,555.109836083671,894.128306326014
"33",2,521600,24640,9980,445800,127960,521600,1934.95882675565,492.961081578855,315.051208738625,1835.99432237187,1091.36103651202,1934.95882675565
"35",2,72260,3080,1320,58940,23420,72260,712.17319626088,174.370474589303,114.578497254246,667.878331204984,459.607485262458,712.17319626088
"53",2,200440,13060,4600,167700,57300,200440,1217.8892426178,357.89737841888,213.814312509373,1146.16259827442,726.711231624064,1217.8892426178
"61",2,176220,8700,4220,149480,45780,176200,1149.0723049952,292.963355797648,204.762623700311,1084.8365281767,653.245612101892,1149.03345411726
"63",2,130240,6700,3080,105940,39020,130220,964.739848872538,256.833748509628,174.910502755958,901.686576706581,597.273839800843,964.697667336161
"67",2,73540,4080,1340,60360,22520,73540,718.353747906998,200.170493663336,115.441032814874,675.108116662015,452.344016988326,718.353747906998
"73",2,58700,2340,920,47160,18220,58700,641.766203928761,152.061930024488,95.6945133543757,598.799469978265,406.611893162019,641.766203928761
"77",2,47800,2560,1060,36760,17080,47800,616.858117140959,159.0156889786,102.718901595979,556.403074285104,398.145662736451,616.858117140959
"0",3,237360,108630,37050,234900,33420,237360,1404.16959941014,1000.92488755462,600.476670830822,1398.32339134919,570.897202509722,1404.16959941014
"11",3,76380,36990,11670,75990,8520,76350,790.966798847635,580.824094656844,336.847758084339,789.383457307676,288.864847560937,790.850049885708
"33",3,358830,173490,47160,356940,38880,358830,1703.60492497774,1254.41932111798,677.640763728546,1700.18357596411,616.85463067894,1703.60492497774
"35",3,46890,21510,7590,46650,5670,46890,614.93830895724,442.747407700191,271.039873471809,613.733454049104,235.324455442613,614.93830895724
"53",3,150900,74280,22290,150060,17760,150900,1102.74732603543,819.122092290491,465.174597516107,1100.3905419479,416.489642266882,1102.74732603543
"61",3,137310,64710,18990,136740,14730,137310,1051.27308434358,766.29129181168,429.683709217748,1049.6010860873,379.662668518214,1051.27308434358
"63",3,84300,39840,12660,83580,10440,84300,828.904757203293,602.846103941943,350.743675252334,826.144788219561,319.365604225241,828.904757203293
"67",3,49140,24300,7590,48870,5100,49140,627.185376989609,467.861003480445,271.220886072026,625.877952236402,223.406354643376,627.185376989609
"73",3,35250,15600,4650,35100,4020,35250,537.913277317763,378.993956540072,213.080165504856,537.016822135525,198.445230175245,537.913277317763
"77",3,36420,18240,4590,36150,5220,36420,556.000203976574,410.297146399411,212.183538890997,554.303797228702,225.934150425168,556.000203976574
